distance_km,avg_speed_kmh,vehicle_load_kg,engine_size,vehicle_age,fuel_consumption_liters
302,73,9792,2.5,41,35.51671
635,42,22194,2.5,41,74.679175
470,59,16955,2.0,41,52.6422380952381
306,42,17760,2.0,41,34.27345714285715
271,45,13268,2.5,41,37.49524117647059
900,68,23693,2.5,41,124.5229411764706
220,78,12908,4.2,41,39.80476923076923
814,70,9439,4.2,41,147.27764615384615
321,78,20371,4.2,41,44.41318235294118
666,60,18227,4.2,41,92.14697647058823
414,40,15933,2.5,41,48.688469999999995
530,72,11389,4.2,41,73.33017647058824
658,49,16420,2.5,41,77.38409
287,65,17461,4.2,41,39.70898235294118
572,42,24942,2.5,41,64.06672380952382
299,53,29392,4.2,41,39.070994444444445
863,47,22229,4.2,41,112.77012777777777
330,71,17240,2.5,41,43.121833333333335
861,80,6332,4.2,41,112.50878333333334
508,75,16229,2.5,41,66.3814888888889
543,66,17524,4.2,41,75.12884117647059
691,72,11300,2.5,41,81.265055
613,60,22658,4.2,41,84.8139588235294
585,65,12166,2.5,41,68.798925
391,53,5337,4.2,41,54.0983
476,75,8294,2.5,41,53.31426666666667
360,67,21720,4.2,41,47.042
659,67,18445,4.2,41,86.11299444444445
513,60,6867,5.3,41,134.06969999999998
221,80,28298,5.3,41,57.75712222222222
452,68,5494,5.3,41,118.12768888888888
760,77,9642,5.3,41,198.6217777777778
674,73,8886,5.3,41,198.16442500000002
258,40,13352,5.3,41,75.855225
710,59,7036,1.8,41,79.52338095238096
881,65,19722,1.8,41,98.67619523809525
675,66,20556,1.8,41,66.1528125
899,62,21186,1.8,41,88.10574583333333
389,46,14699,2.2,41,50.831494444444445
886,61,26467,2.2,41,115.77558888888889
762,76,24944,2.1,41,105.42942352941176
766,74,7281,2.1,41,105.9828588235294
443,43,15060,2.1,41,61.29295882352942
704,68,6601,2.1,41,91.99324444444444
330,76,17019,2.1,41,40.85226315789474
684,75,16672,2.1,41,84.67560000000002
846,42,6299,2.1,41,117.05156470588236
220,41,19794,2.1,41,28.747888888888887
366,44,19748,2.1,41,45.30887368421053
473,57,25551,2.1,41,58.5549105263158
587,73,21026,2.1,41,81.2166294117647
800,54,23430,2.2,41,104.53777777777778
515,79,20017,2.1,41,71.25479411764707
213,80,7881,2.2,41,27.83318333333333
441,40,26858,2.1,41,51.863805
545,61,23201,2.2,41,67.46813157894738
764,64,23582,2.1,41,89.85022000000001
539,56,8332,2.2,41,66.72536315789475
291,72,6103,2.1,41,42.77881875
566,56,8177,2.1,41,83.2055375
654,77,16666,5.0,41,96.1420875
627,44,26199,5.0,41,86.75098235294118
708,76,7177,1.5,41,75.69485454545455
234,50,22578,1.5,41,25.01779090909091
405,51,25885,2.3,41,52.922250000000005
280,73,11041,2.3,41,36.58822222222222
761,74,13727,3.0,41,137.6883153846154
